pid,n_covered,ei_mean,ei_median,ei_std,excit_density,inhib_density,n_voxels,coverage,division,structure,acronym
181,2157,0.1276408,0.0,0.2960148,0.04771946,0.2645745,19259,0.11199958460979283,OLF,AOB,AOBgl
170,1539,0.12555353,0.0024949634,0.25707757,0.013297982,0.20337963,3741,0.4113873295910184,MY,NR,NR
93,3510,0.12449734,0.0,0.3238838,0.032928433,0.48978218,17067,0.20566004570223237,VL,SEZ,SEZ
1320,3963,0.12329013,0.0,0.3025416,0.0094739245,0.42526463,8551,0.463454566717343,MB,IPN,IPC
904,928,0.12291877,0.031749368,0.21811736,0.051227715,0.48816362,1466,0.6330150068212824,HY,PD,PD
898,5083,0.120193325,0.0,0.2794,0.014964242,0.37502846,26558,0.1913924241283229,mfbs,mfbc,act
1310,3662,0.112007454,0.0,0.2772518,0.00863965,0.15886565,10658,0.34359166823043724,CB,VeCB,VeCB
534,12977,0.10925304,0.0,0.29602826,0.02008184,0.4332681,38653,0.3357307324140429,STR,CEA,CEAc
5,46351,0.10895435,0.0,0.2984148,0.010601477,0.24010149,297325,0.15589338266207012,lfbs,cst,int
224,2011,0.10188495,0.0,0.27662763,0.0072089056,0.15641634,5386,0.3733754177497215,MB,AT,AT
337,6527,0.100992516,0.0,0.25826138,0.021541046,0.57044894,13698,0.476492918674259,HY,SBPV,SBPV
1323,1686,0.09605895,0.0,0.2635594,0.009947194,0.35617152,4008,0.42065868263473055,MB,IPN,IPI
1011,63078,0.092526466,0.0,0.2660602,0.00588428,0.23006612,195590,0.3225011503655606,PAL,GPe,GPe
88,1842,0.089821815,0.0,0.2578102,0.0059760017,0.2164935,7510,0.2452729693741678,cm,Vn,moV
747,1957,0.08716409,0.0,0.26242036,0.014137311,0.16948824,4680,0.4181623931623932,MB,VTN,VTN
251,99941,0.08648465,0.0,0.25895083,0.011282255,0.42448106,235295,0.4247476571962855,STR,LSr,LSr
976,20494,0.08469998,0.0,0.2636002,0.017650925,0.11406803,117635,0.17421685722786587,lfbs,cc,ccs
870,6622,0.080026604,0.0,0.2436232,0.010610411,0.51861227,12961,0.5109173674870766,P,DTN,DTN
829,1270,0.07407115,0.0,0.21917038,0.005608434,0.10949507,21817,0.05821148645551634,MY,DMX,DMX
258,32243,0.07003972,0.0,0.20903827,0.01515049,0.51323146,75897,0.42482575068843303,STR,LSv,LSv
364,8617,0.0698986,0.0,0.22388652,0.0037580589,0.1189665,24590,0.35042700284668565,MB,SNc,SNc
276,3821,0.06745929,0.0,0.22505899,0.008957172,0.64323664,8242,0.4636010677020141,HY,SCH,SCH
200,762,0.05608637,0.0,0.1481562,0.02206994,0.48315033,6591,0.11561219845243514,MY,AP,AP
95,284,0.0539842,0.0,0.21693341,0.0028201395,0.29352692,1296,0.2191358024691358,MB,IPN,IPN-unassigned
655,15748,0.050955333,0.0,0.19630474,0.006061869,0.09182996,110155,0.14296218964186827,cm,In,lot
541,12484,0.04854431,0.0,0.21107377,0.022958528,0.53261286,32450,0.38471494607087825,STR,CEA,CEAl
53,1075,0.04786082,0.0,0.16760352,0.003822435,0.15005606,5373,0.2000744463056021,MB,MT,MT
323,1475,0.04706583,0.0,0.17199574,0.015465038,0.6669816,4638,0.3180250107805088,STR,SH,SH
51,214859,0.036830228,0.0,0.17750457,0.003517681,0.5788543,550792,0.39009099623814436,STR,ACB,ACB
311,743,0.031971928,0.0,0.16653319,0.0008749341,0.20339316,3352,0.22165871121718378,TH,SubG,SubG
914,15082,0.030247863,0.0,0.17005457,0.002944212,0.092641495,110338,0.13668908263698817,lfbs,cst,cpd
744,177779,0.02704464,0.0,0.14757696,0.0028191817,0.53139544,478066,0.3718712479030092,STR,OT,OT
662,1303493,0.025432197,0.0,0.15149944,0.0069905478,0.49993977,3252597,0.4007545355296091,STR,CP,CP
255,86265,0.024330769,0.0,0.13476945,0.0045001134,0.3921183,180846,0.477008062108092,TH,RT,RT
243,25683,0.021664187,0.0,0.1362041,0.005247426,0.36387247,70501,0.3642927050680132,STR,LSc,LSc
371,61004,0.012831182,0.0,0.100683615,0.0008160955,0.12440722,193652,0.3150186933261727,MB,SNr,SNr
520,851,0.010575793,0.0,0.10235359,0.00017316933,0.27045476,4736,0.1796875,mfbs,mfbc,df
838,382,0.0031966192,0.0,0.01575535,0.0012587337,0.22163765,8829,0.04326650809831238,cm,IIn,IIn-unassigned
322,393,0.0020162675,0.0,0.008328219,0.0017708123,0.6334369,770,0.5103896103896104,HY,ASO,ASO
822,484,0.0,0.0,0.0,0.0,0.13440573,996,0.4859437751004016,cm,IIIn,IIIn-unassigned
