region,n_voxels_total,n_voxels_covered,coverage_frac,excit_mean,inhib_mean,ei_ratio_mean,ei_ratio_median,ei_ratio_std
Isocortex,15410332,5559808,0.3607844399458753,0.306090772151947,0.07875993102788925,0.6962299942970276,0.8277552127838135,0.34975242614746094
CTXsp,1113228,420419,0.377657586765694,0.21322616934776306,0.1021258682012558,0.6593510508537292,0.821646511554718,0.3852137625217438
HPF,5331189,1800460,0.3377220353658443,0.2531426250934601,0.06912369281053543,0.600430428981781,0.7841881513595581,0.4168315529823303
OLF,5847447,1490762,0.2549423705764242,0.20971059799194336,0.2029879093170166,0.5153012275695801,0.5969018936157227,0.43778929114341736
PAL,1170356,404032,0.3452214539849413,0.03369985893368721,0.26595187187194824,0.23870746791362762,0.0022028875537216663,0.3721384108066559
STR,5620276,2191305,0.3898927739491797,0.021821651607751846,0.47555115818977356,0.07176800072193146,0.0,0.2381504476070404
